mapping_id,user_topic_label,developer_topic_label,max_lag_searched,best_lag_months,best_lag_spearman_rho,observed_max_abs_rho,pair_level_exact_p,null_nonidentity_shifts,null_extreme_count,null_max_mean,null_max_median,null_max_95pct,lag_interpretation,pair_level_fdr_bh
M004,Light Design,Rendering Issues,12,3,-0.32928012011117935,0.32928012011117935,0.21100917431192662,108,22,0.26338952385557934,0.26827778161301863,0.35924988249824413,developer_lags_user,0.6985583224115335
M022,Comfort Issues,Cybersickness,12,-3,0.251369121092274,0.251369121092274,0.22018348623853212,108,23,0.22713302476575856,0.22519259483994017,0.2651200162848952,developer_leads_user,0.6985583224115335
M021,Motion Design,Interaction Mechanics,12,-5,-0.24839432412247947,0.24839432412247947,0.22935779816513763,108,24,0.2322325686949449,0.23699920057265267,0.2695182208742168,developer_leads_user,0.6985583224115335
M024,Network connect,Streaming and Mapping,12,0,0.3107711127101536,0.3107711127101536,0.23853211009174313,108,25,0.2602053836937776,0.2527500484448474,0.3292209172492376,synchronous,0.6985583224115335
M027,Multiplayer,Server Management,12,-10,-0.2509461966604824,0.2509461966604824,0.25688073394495414,108,27,0.24086039508233473,0.23753410223205051,0.2853641975698725,developer_leads_user,0.7021406727828746
M016,VR Elements,Game Elements,12,3,-0.2830734353007286,0.2830734353007286,0.30275229357798167,108,32,0.2593624362391185,0.26615397229219034,0.29835943045806007,developer_lags_user,0.775802752293578
M032,Technical Issues,Technical Challenges,12,-4,-0.24670911960771125,0.24670911960771125,0.3486238532110092,108,37,0.22782337144481735,0.23266685440095206,0.3031136946853213,developer_leads_user,0.7940876656472987
M038,Linux OS,Cross-platform,12,-3,0.23040104803763778,0.23040104803763778,0.3486238532110092,108,37,0.21103645327626333,0.21225357829900637,0.2605109919794336,developer_leads_user,0.7940876656472987
M017,Hardware Support,Hardware Optimization,12,1,0.20908021289316606,0.20908021289316606,0.3761467889908257,108,40,0.1916072655743171,0.19061426391848302,0.25940679693889857,developer_lags_user,0.8087155963302752
M035,Troubleshooting,Bug Reporting,12,4,0.2750570184532449,0.2750570184532449,0.3944954128440367,108,42,0.2477350091563169,0.2579817067730385,0.35922519662513513,developer_lags_user,0.8087155963302752
M025,Network connect,Server Management,12,-12,-0.24863244266778878,0.24863244266778878,0.45871559633027525,108,49,0.24962394008012118,0.2439195565257004,0.3150782004462507,developer_leads_user,0.8518618456556935
