mapping_id,mapping_status,user_topic_id,user_topic_label,developer_topic_id,developer_topic_label,lag_months,spearman_rho,p_value_permutation,n_observations,p_value_fdr_bh_all_tests
M006,matched,1,Audio Interactions,34,Audio and Visual,-12,-0.007113928045444982,0.964035964035964,97,1.0
M006,matched,1,Audio Interactions,34,Audio and Visual,-11,0.009021415501533321,0.9400599400599401,98,1.0
M006,matched,1,Audio Interactions,34,Audio and Visual,-10,0.027210884353741496,0.7892107892107892,99,1.0
M006,matched,1,Audio Interactions,34,Audio and Visual,-9,-0.06756675667566757,0.5454545454545454,100,0.9958396034345403
M006,matched,1,Audio Interactions,34,Audio and Visual,-8,-0.05148514851485148,0.6733266733266733,101,0.9958396034345403
M006,matched,1,Audio Interactions,34,Audio and Visual,-7,0.0911784496553596,0.38461538461538464,102,0.9958396034345403
M006,matched,1,Audio Interactions,34,Audio and Visual,-6,0.1052475508500637,0.30569430569430567,103,0.9958396034345403
M006,matched,1,Audio Interactions,34,Audio and Visual,-5,-0.19459084604715673,0.058941058941058944,104,0.739033693579148
M006,matched,1,Audio Interactions,34,Audio and Visual,-4,-0.06273082814355545,0.5584415584415584,105,0.9958396034345403
M006,matched,1,Audio Interactions,34,Audio and Visual,-3,0.16325204235143204,0.1068931068931069,106,0.800161377084454
M006,matched,1,Audio Interactions,34,Audio and Visual,-2,0.07239579634173131,0.44955044955044954,107,0.9958396034345403
M006,matched,1,Audio Interactions,34,Audio and Visual,-1,0.01818684145424835,0.8661338661338661,108,1.0
M006,matched,1,Audio Interactions,34,Audio and Visual,0,-0.14840025025413126,0.16783216783216784,109,0.8900190718372537
M006,matched,1,Audio Interactions,34,Audio and Visual,1,0.029386125793719617,0.7662337662337663,108,1.0
M006,matched,1,Audio Interactions,34,Audio and Visual,2,-0.014758683527896813,0.8981018981018981,107,1.0
M006,matched,1,Audio Interactions,34,Audio and Visual,3,0.022420395009129415,0.8081918081918081,106,1.0
M006,matched,1,Audio Interactions,34,Audio and Visual,4,-0.08203612992932412,0.4305694305694306,105,0.9958396034345403
M006,matched,1,Audio Interactions,34,Audio and Visual,5,0.025760849279655395,0.8111888111888111,104,1.0
M006,matched,1,Audio Interactions,34,Audio and Visual,6,0.16607449800053825,0.12387612387612387,103,0.8129370629370628
M006,matched,1,Audio Interactions,34,Audio and Visual,7,-0.10353075561402497,0.3086913086913087,102,0.9958396034345403
M006,matched,1,Audio Interactions,34,Audio and Visual,8,0.13463991385772597,0.21478521478521478,101,0.9057207852388575
M006,matched,1,Audio Interactions,34,Audio and Visual,9,-0.17320051614504922,0.08591408591408592,100,0.745535456279258
M006,matched,1,Audio Interactions,34,Audio and Visual,10,0.0688580352226299,0.4975024975024975,99,0.9958396034345403
M006,matched,1,Audio Interactions,34,Audio and Visual,11,-0.03968274210784344,0.7172827172827173,98,0.9995729461378317
M006,matched,1,Audio Interactions,34,Audio and Visual,12,-0.03436758258427251,0.7932067932067932,97,1.0
M007,matched,7,Game Interface,24,Environment & Interface.,-12,0.03429413002314328,0.8161838161838162,97,1.0
M007,matched,7,Game Interface,24,Environment & Interface.,-11,-0.09538473308723677,0.4125874125874126,98,0.9958396034345403
M007,matched,7,Game Interface,24,Environment & Interface.,-10,0.14311688311688311,0.22477522477522477,99,0.9219296328671328
M007,matched,7,Game Interface,24,Environment & Interface.,-9,-0.19557155715571556,0.11888111888111888,100,0.800161377084454
M007,matched,7,Game Interface,24,Environment & Interface.,-8,0.05694816540477577,0.6843156843156843,101,0.9994172494172495
M007,matched,7,Game Interface,24,Environment & Interface.,-7,-0.005761912570468926,0.9690309690309691,102,1.0
